pre_release_speed,pre_release_spin_rate,pre_release_extension,pre_zone_pct,pre_fb_zone_pct,pre_fastball_pct,pre_pitch_type_count,pre_pitch_count,Player,mlbamid,surgery_date,surgery_year,age_at_surgery,successful_return,return_date,post_release_speed,post_release_spin_rate,post_release_extension,post_zone_pct,post_fb_zone_pct,post_fastball_pct,post_pitch_type_count,post_pitch_count,velocity_change,spin_rate_change,zone_pct_change,fb_zone_pct_change,fastball_pct_change,extension_change,pitch_type_count_change
93.11402439024391,2400.4695121951218,5.697560975609757,0.4567627494456763,0.42073170731707316,0.36363636363636365,4,451,Evan Marshall,605359,2021-11-23,2021,31,0,,,,,,,,,,,,,,,,
93.15421686746988,2441.878787878788,7.154216867469879,0.5481927710843374,0.5783132530120482,0.5,3,332,Richard Lovelady,663992,2021-09-29,2021,25,1,2023-04-16,90.90288461538461,2302.0098039215686,7.4,0.535175879396985,0.4855769230769231,0.5226130653266332,4.0,398.0,-2.2513322520852768,-139.86898395721937,-0.013016891687352428,-0.0927363299351251,0.022613065326633208,0.2457831325301214,1.0
94.57172061328791,2283.221465076661,6.5327086882453145,0.5232758620689655,0.5775127768313458,0.5060344827586207,4,1160,John Curtiss,595928,2021-09-01,2021,28,1,2023-03-31,93.46627450980391,2258.589641434263,6.474509803921569,0.47391304347826085,0.5372549019607843,0.5543478260869565,4.0,460.0,-1.1054461034839989,-24.631823642398103,-0.04936281859070463,-0.04025787487056154,0.04831334332833581,-0.05819888432374576,0.0
90.60871261378412,2255.8829648894666,5.955786736020806,0.4458266452648475,0.5383615084525357,0.30858747993579455,9,2492,Kenta Maeda,628317,2021-09-01,2021,33,1,2023-04-04,90.63356353591162,2249.6077348066297,6.101933701657459,0.4746629474662947,0.574585635359116,0.3365876336587634,7.0,2151.0,0.02485092212749862,-6.27523008283697,0.028836302201447228,0.03622412690658028,0.028000153722968824,0.1461469656366532,-2.0
96.37492163009404,2654.4294670846393,6.452351097178682,0.5244988864142539,0.5203761755485894,0.35523385300668153,4,898,Tejay Antone,622088,2021-08-27,2021,27,1,2023-09-02,93.42816901408452,2460.4225352112676,6.422535211267606,0.432258064516129,0.4647887323943662,0.45806451612903226,4.0,155.0,-2.946752616009519,-194.00693187337174,-0.09224082189812488,-0.055587443154223204,0.10283066312235073,-0.0298158859110762,0.0
97.09458598726114,2402.8947704081634,7.499422706863375,0.5120396600566572,0.6133757961783439,0.5559490084985835,5,2824,Tyler Glasnow,607192,2021-08-04,2021,27,1,2022-09-28,96.46702702702703,2488.88,7.50227027027027,0.5084500241429262,0.6237837837837837,0.4466441332689522,4.0,2071.0,-0.6275589602341114,85.98522959183674,-0.0035896359137310707,0.010407987605439817,-0.10930487522963134,0.0028475634068954037,-1.0
93.89395604395607,2613.5384615384614,6.44065934065934,0.44280442804428044,0.46703296703296704,0.33579335793357934,4,542,Jimmy Nelson,519076,2021-08-01,2021,32,0,,,,,,,,,,,,,,,,
94.17049608355092,2413.1092657342656,6.30774586597041,0.48725055432372505,0.5395996518711923,0.6369179600886918,6,1804,Spencer Turnbull,605513,2021-07-29,2021,28,1,2023-04-01,93.01822784810126,2401.9316455696203,6.368607594936708,0.4911242603550296,0.5974683544303797,0.584319526627219,6.0,676.0,-1.1522682354496538,-11.177620164645305,0.003873706031304547,0.05786870255918741,-0.05259843346147286,0.060861728966298045,0.0
97.30798122065727,2336.225352112676,5.653051643192488,0.5158371040723982,0.5305164319248826,0.4819004524886878,2,442,Dan Altavilla,656186,2021-06-29,2021,28,1,2024-06-10,95.8231884057971,2298.927536231884,5.902898550724637,0.47651006711409394,0.5579710144927537,0.46308724832214765,4.0,298.0,-1.484792814860171,-37.29781588079186,-0.03932703695830431,0.027454582567871033,-0.018813204166540143,0.24984690753214878,2.0
90.81623794212219,2188.9254457050242,6.543890675241157,0.5,0.5466237942122186,0.6334012219959266,5,982,Joey Lucchesi,664192,2021-06-24,2021,28,1,2023-04-21,90.10873786407767,2180.5553359683795,6.424708171206225,0.45689655172413796,0.5009708737864078,0.7399425287356322,5.0,696.0,-0.707500078044518,-8.370109736644736,-0.043103448275862044,-0.04565292042581082,0.10654130673970552,-0.11918250403493236,0.0
